# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4321.000	80697.000	0.093	-0.022	-0.311	0.157
4320.000	80707.000	0.098	-0.022	-0.311	0.157
4319.000	80717.000	0.110	-0.022	-0.311	0.157
4318.000	80727.000	0.091	-0.022	-0.311	0.157
4317.000	80737.000	0.077	-0.022	-0.311	0.157
4316.000	80747.000	0.081	-0.022	-0.311	0.157
4315.000	80757.000	0.082	-0.022	-0.311	0.157
4314.000	80767.000	0.091	-0.022	-0.311	0.157
4313.000	80777.000	0.083	-0.022	-0.311	0.157
4312.000	80787.000	0.079	-0.022	-0.311	0.157
4311.000	80797.000	0.079	-0.022	-0.311	0.157
4310.000	80807.000	0.091	-0.022	-0.311	0.157
4309.000	80817.000	0.077	-0.022	-0.311	0.157
4308.000	80827.000	0.076	-0.022	-0.311	0.157
4307.000	80837.000	0.069	-0.022	-0.311	0.157
4306.000	80847.000	0.060	-0.022	-0.311	0.157
4305.000	80857.000	0.081	-0.022	-0.311	0.157
4304.000	80867.000	0.087	-0.022	-0.311	0.157
