# Title: MWBlink QuickScan
# Note:	Scan of 27f in +40 V (6.6 V/cm) and no PM, with MW ON (s) at +18.6 dBm and OFF (r) at -20 dBm on Hittite.
# Type:	DL-Pro Frequency Scan at 1000 samples/s
# Hittite Freq:	18510.5 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361351.8 GHz (Start, scans Red-ward)
# Target:	27f in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0010 V
# Static:	+40 V
# Static Off:	NaN
b	r	s
0.011	-0.309	-0.037
0.001	-0.279	-0.064
0.016	-0.304	-0.052
0.015	-0.284	-0.081
0.008	-0.305	-0.085
0.013	-0.262	-0.062
0.011	-0.270	-0.058
0.010	-0.291	-0.065
0.014	-0.257	-0.043
0.006	-0.231	-0.058
0.004	-0.287	-0.044
0.005	-0.278	-0.057
0.016	-0.254	-0.064
0.011	-0.268	-0.080
0.004	-0.347	-0.074
0.010	-0.266	-0.064
0.005	-0.314	-0.059
0.009	-0.298	-0.047
0.004	-0.305	-0.080
0.006	-0.377	-0.059
0.006	-0.300	-0.067
0.010	-0.259	-0.071
0.018	-0.309	-0.056
0.002	-0.307	-0.053
0.005	-0.330	-0.052
0.012	-0.290	-0.047
0.013	-0.271	-0.052
0.015	-0.253	-0.041
0.011	-0.235	-0.031
0.017	-0.308	-0.029
0.006	-0.365	-0.072
0.000	-0.351	-0.073
-0.006	-0.292	-0.060
0.013	-0.275	-0.048
0.001	-0.287	-0.041
0.006	-0.291	-0.091
0.000	-0.279	-0.063
-0.000	-0.293	-0.050
0.015	-0.312	-0.054
0.014	-0.270	-0.068
0.009	-0.318	-0.058
0.003	-0.318	-0.081
0.016	-0.288	-0.086
0.005	-0.296	-0.059
0.001	-0.343	-0.045
0.001	-0.295	-0.024
0.010	-0.329	-0.069
0.004	-0.341	-0.065
0.009	-0.285	-0.085
0.008	-0.316	-0.083
0.006	-0.300	-0.060
0.000	-0.291	-0.075
0.011	-0.256	-0.037
0.018	-0.313	-0.018
0.014	-0.275	-0.032
0.019	-0.281	-0.052
0.011	-0.294	-0.050
0.015	-0.295	-0.055
0.011	-0.338	-0.047
0.005	-0.321	-0.050
0.010	-0.310	-0.065
0.016	-0.333	-0.050
0.011	-0.364	-0.059
0.010	-0.332	-0.089
0.004	-0.375	-0.074
0.004	-0.345	-0.059
0.008	-0.330	-0.071
0.009	-0.297	-0.044
0.007	-0.337	-0.035
0.001	-0.352	-0.048
0.007	-0.312	-0.022
0.013	-0.321	-0.063
0.017	-0.350	-0.065
0.006	-0.348	-0.055
0.009	-0.333	-0.039
0.012	-0.330	-0.057
0.003	-0.332	-0.048
0.010	-0.344	-0.036
0.013	-0.313	-0.066
0.028	-0.371	-0.050
0.005	-0.337	-0.045
0.008	-0.296	-0.044
0.005	-0.312	-0.041
0.019	-0.335	-0.018
0.001	-0.330	-0.036
0.007	-0.346	-0.033
-0.001	-0.356	-0.045
0.002	-0.303	-0.031
0.017	-0.288	-0.057
0.015	-0.361	-0.078
0.007	-0.333	-0.055
0.013	-0.314	-0.046
0.018	-0.342	-0.082
0.011	-0.330	-0.080
0.005	-0.277	-0.065
0.010	-0.312	-0.055
0.014	-0.331	-0.049
0.010	-0.281	-0.031
0.007	-0.329	-0.048
0.003	-0.351	-0.071
0.012	-0.304	-0.041
0.001	-0.319	-0.063
0.005	-0.364	-0.049
0.009	-0.359	-0.021
0.008	-0.292	-0.038
0.013	-0.332	-0.051
0.011	-0.331	-0.050
0.009	-0.301	-0.058
0.015	-0.361	-0.046
0.006	-0.324	-0.054
0.012	-0.308	-0.055
0.010	-0.313	-0.051
0.012	-0.320	-0.048
0.003	-0.408	-0.054
-0.003	-0.354	-0.048
-0.005	-0.320	-0.052
0.005	-0.304	-0.069
0.009	-0.320	-0.063
0.004	-0.331	-0.056
0.008	-0.246	-0.064
0.009	-0.326	-0.047
0.009	-0.311	-0.040
0.016	-0.279	-0.065
0.002	-0.308	-0.062
0.007	-0.321	-0.066
0.007	-0.337	-0.043
0.008	-0.338	-0.039
0.010	-0.291	-0.013
0.011	-0.289	-0.029
0.012	-0.286	-0.044
0.007	-0.293	-0.048
0.001	-0.335	-0.053
-0.001	-0.315	-0.034
0.010	-0.336	-0.049
-0.005	-0.306	-0.048
0.003	-0.338	-0.043
0.005	-0.335	-0.041
0.000	-0.347	-0.047
0.014	-0.294	-0.057
0.006	-0.307	-0.056
0.007	-0.267	-0.060
0.010	-0.300	-0.073
0.020	-0.312	-0.051
0.017	-0.302	-0.067
0.013	-0.264	-0.040
0.009	-0.260	-0.052
0.017	-0.345	-0.061
0.008	-0.308	-0.063
0.008	-0.318	-0.055
0.011	-0.327	-0.049
0.014	-0.335	-0.053
0.001	-0.268	-0.043
0.008	-0.285	-0.041
0.007	-0.235	-0.034
0.005	-0.277	-0.077
0.017	-0.273	-0.076
0.007	-0.334	-0.076
0.004	-0.314	-0.052
0.016	-0.305	-0.031
0.011	-0.294	-0.032
0.014	-0.276	-0.048
0.016	-0.256	-0.049
0.014	-0.315	-0.047
0.011	-0.295	-0.069
0.003	-0.265	-0.070
0.000	-0.297	-0.060
0.000	-0.233	-0.052
0.003	-0.256	-0.044
0.007	-0.273	-0.049
0.008	-0.256	-0.059
0.011	-0.289	-0.057
0.010	-0.281	-0.070
0.020	-0.280	-0.037
0.001	-0.264	-0.045
0.009	-0.293	-0.055
0.009	-0.277	-0.034
0.002	-0.270	-0.047
0.007	-0.237	-0.053
0.010	-0.324	-0.054
0.013	-0.290	-0.054
0.005	-0.293	-0.074
