# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
433.000	-4492.720	1.000	0.000	0.038	0.040
434.000	-4492.520	1.000	0.000	0.036	0.040
435.000	-4492.120	1.000	0.000	0.045	0.040
436.000	-4491.720	1.000	0.000	0.039	0.040
437.000	-4491.220	1.000	0.000	0.047	0.040
438.000	-4490.820	1.000	0.000	0.041	0.040
439.000	-4490.520	1.000	0.000	0.046	0.040
440.000	-4490.320	1.000	0.000	0.045	0.040
441.000	-4489.920	1.000	0.000	0.039	0.040
442.000	-4489.520	1.000	0.000	0.041	0.040
443.000	-4489.020	1.000	0.000	0.039	0.040
444.000	-4488.620	1.000	0.000	0.039	0.040
445.000	-4488.120	1.000	0.000	0.039	0.040
446.000	-4487.920	1.000	0.000	0.031	0.040
447.000	-4487.720	1.000	0.000	0.037	0.040
448.000	-4487.320	1.000	0.000	0.033	0.040
449.000	-4487.020	1.000	0.000	0.036	0.040
450.000	-4486.720	1.000	0.000	0.034	0.040
451.000	-4486.320	1.000	0.000	0.036	0.040
452.000	-4485.820	1.000	0.000	0.040	0.040
453.000	-4485.420	1.000	0.000	0.037	0.040
454.000	-4485.220	1.000	0.000	0.039	0.040
455.000	-4484.820	1.000	0.000	0.034	0.040
456.000	-4484.620	1.000	0.000	0.037	0.040
457.000	-4484.220	1.000	0.000	0.036	0.040
458.000	-4484.020	1.000	0.000	0.039	0.040
459.000	-4483.720	1.000	0.000	0.038	0.040
460.000	-4483.520	1.000	0.000	0.033	0.040
461.000	-4482.820	1.000	0.000	0.037	0.040
462.000	-4482.520	1.000	0.000	0.036	0.040
463.000	-4482.120	1.000	0.000	0.045	0.040
464.000	-4482.020	1.000	0.000	0.041	0.040
465.000	-4481.620	1.000	0.000	0.047	0.040
466.000	-4481.420	1.000	0.000	0.037	0.040
467.000	-4481.020	1.000	0.000	0.044	0.040
468.000	-4480.520	1.000	0.000	0.042	0.040
469.000	-4480.220	1.000	0.000	0.036	0.040
470.000	-4480.120	1.000	0.000	0.046	0.040
471.000	-4479.420	1.000	0.000	0.036	0.040
472.000	-4479.020	1.000	0.000	0.039	0.040
473.000	-4478.720	1.000	0.000	0.047	0.040
